"seed","ari","nmi","n_vertices","n_communities"
51,0.0260559705982852,0.0406606895441239,160,13
52,0.0149237283743023,0.0268241600458862,154,14
53,0.0244583106928777,0.0416030913813112,163,13
54,0.0191533508291534,0.0443369722307781,160,14
55,0.0390771493850344,0.0437295725423249,155,12
56,0.0179034986557912,0.0288913897375653,159,13
57,0.0197604782678333,0.0319157028514876,159,14
58,0.0357780027353385,0.0496206470795931,166,14
59,0.0379277616740715,0.0490477905822993,152,13
60,0.0132481881346302,0.0330780314273953,158,14
61,0.0187156620065766,0.0341062076399305,151,13
62,0.0167445527740026,0.0390150328020297,155,15
63,0.0311186380995184,0.0451315650636826,159,14
64,0.0240471638419823,0.0457673608065744,166,16
65,0.0397851776113961,0.064539528259634,160,14
66,0.0189063532421885,0.0249652946872013,163,12
67,0.018506227953887,0.025723247145806,160,12
68,0.0195997093506443,0.0386180311918829,157,15
69,0.0329393530104883,0.0587571393537963,159,14
70,0.0172536669566511,0.0265254083702774,152,12
71,0.0249580537358243,0.040962995406678,153,13
72,0.0458685952738033,0.0590185880607651,165,13
73,0.0135682343865398,0.0303767615534753,157,14
74,0.0285931907585419,0.0337204089767532,156,13
75,0.0288183286539767,0.0415628702465464,159,13
76,0.0311245136951492,0.0394748425701136,152,12
77,0.0200380724748688,0.0370129068326576,168,14
78,0.0261779355670351,0.042634732165185,157,14
79,0.0221199813177763,0.0292066468831109,151,12
80,0.016103257865771,0.0279327796918897,137,15
81,0.0234557600656406,0.0389846903403562,159,15
82,0.0206685286538394,0.0338381749021322,152,13
83,0.0410207104648803,0.0491501820954115,158,14
84,0.0350276281058723,0.0477232789227382,156,13
85,0.0281701503934318,0.0350988606059283,157,12
86,0.0315611171323255,0.0476645053985707,156,13
87,0.0266255014778844,0.0401990533734682,167,13
88,0.0263871378129971,0.0401964799528824,162,13
89,0.0373738532777036,0.0517486962401159,155,13
90,0.0224974219510418,0.0438765488423841,164,13
91,0.037810737916896,0.0443121587886522,157,13
92,0.0413376652365659,0.0456189928786303,165,13
93,0.0211171549295584,0.0278263697031656,151,12
94,0.0441648648702082,0.0509012653837665,149,12
95,0.0333006778515832,0.0545855341672872,159,14
96,0.0301992574688643,0.0442475999086441,150,13
97,0.0385570198594477,0.0570182315576124,165,13
98,0.0292799545333233,0.0362620826477606,156,12
99,0.0316606698154829,0.0548540631637808,154,12
100,0.0294815162042688,0.0496962116329998,154,14
101,0.0100579117963626,0.0340660610398305,161,14
102,0.03459469712321,0.0436408927849852,155,13
103,0.0166295690416554,0.0280999233869989,148,13
104,0.0285347049179553,0.0370652229996912,149,14
105,0.0327404198180237,0.0535952489301846,163,14
106,0.049214018154777,0.0599812900414572,157,14
107,0.0287074897422426,0.0396828910407189,151,13
108,0.0173646233445513,0.0300970386978227,158,13
109,0.015453862199956,0.0330929126546797,162,13
110,0.0391813084470647,0.0572129526304684,150,14
111,0.0287951233375341,0.0439627580933443,153,13
112,0.0148260980524629,0.023116583699113,156,12
113,0.0286694720724346,0.0474730931077589,161,12
114,0.01935566651118,0.0377424199958745,161,14
115,0.0250302698429071,0.0443633443458505,162,14
116,0.0161743326458359,0.0315636369955113,153,15
117,0.021853772133212,0.0383801529279408,158,12
118,0.0209488649831344,0.0399079078867239,153,13
119,0.0356283345065474,0.0414647004922825,159,12
120,0.0421648638575092,0.0552176367733272,160,14
121,0.00879540427833667,0.0211751915647359,157,13
122,0.0141653691414657,0.025274083213977,156,13
123,0.0235826818418499,0.029716960276835,162,12
124,0.0210460798784251,0.0313474967210045,156,14
125,0.0189151771887266,0.0291317204232747,158,14
